category,name,conductivity,emissivity,source,comments,color_argb
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 24 mm",0.15,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 25 mm",0.156,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 30 mm",0.188,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 35 mm",0.219,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 40 mm",0.25,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 45 mm",0.281,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 50 mm",0.313,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 55 mm",0.344,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 60 mm",0.375,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 65 mm",0.406,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 70 mm",0.438,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 75 mm",0.469,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 80 mm",0.5,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 85 mm",0.531,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 90 mm",0.563,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 95 mm",0.594,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 100 mm",0.625,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 110 mm",0.688,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 120 mm",0.75,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 130 mm",0.813,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 140 mm",0.875,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 150 mm",0.938,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 160 mm",1,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 170 mm",1.063,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 180 mm",1.125,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 190 mm",1.188,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 200 mm",1.25,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 210 mm",1.313,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 220 mm",1.375,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 230 mm",1.438,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 240 mm",1.5,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 250 mm",1.563,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 260 mm",1.625,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 270 mm",1.688,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 280 mm",1.75,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 290 mm",1.813,0.9,ISO 6946 Method,,"255,175,240,255"
Air [Upward Heat Flow],"Air layer, unventilated, upwards, thickness: 300 mm",1.875,0.9,ISO 6946 Method,,"255,175,240,255"
Concrete,Concrete (Heavily Reinforced),3,0.9,,,"255,130,130,130"
Concrete,Concrete (Reinforced),2.5,0.9,,,"255,160,160,160"
Concrete,Concrete (Wufi),0.793,0.9,WUFI-Passive Database,,"255,130,130,130"
Concrete,Concrete Brick,0.733,0.9,WUFI-Passive Database,,"255,190,190,190"
Concrete,Aerated Concrete,0.119,0.9,WUFI-Passive Database,,"255,230,230,230"
Finish,DensElement Barrier System,0.198,0.9,,,
Finish,Durock Cement Board,0.37,0.9,,,"255,145,166,150"
Finish,Fiber Cement Board,0.245,0.9,,,
Finish,Fiberglass,0.035,0.9,,,
Finish,GWB (Densglas Fireguard),0.135,0.9,,,"255,235,180,80"
Finish,GWB (Densglas Sheathing,0.128,0.9,,,"255,235,180,80"
Finish,GWB (Typ),0.17,0.9,,,"255,185,200,195"
Finish,GWB (USG Securock),1,0.9,,,"255,185,200,195"
Finish,Gypsum Board (USA),0.17,0.9,WUFI-Passive Database,,"255,185,200,195"
Finish,Magnesium Board,1.17,0.9,,,"255,170,135,175"
Finish,Stucco,0.722,0.9,,,"255,245,145,140"
Insulation,AAC Block,0.109,0.9,,,"255,230,230,230"
Insulation,Amer. Rockwool Prem. Plus Spray,0.035,0.9,,,
Insulation,AP Armaflex,0.036,0.9,,,
Insulation,Armartherm 500-150,0.044,0.9,,,
Insulation,Armartherm 500-200,0.058,0.9,,,
Insulation,Armartherm 500-250,0.065,0.9,,,
Insulation,Armartherm FRR,0.152,0.9,,,
Insulation,Aspen Aerogels - Spaceloft Grey,0.014,0.9,WUFI-Passive Database,,"255,190,190,190"
Insulation,ccSPF,0.022,0.9,,,"255,200,200,120"
Insulation,ccSPF w Metal Hangers,0.026,0.9,,,"255,200,200,120"
Insulation,Cellulose (Denspack),0.04,0.9,,,"255,255,255,0"
Insulation,Cellulose (Loose Fill),0.045,0.9,,,"255,255,255,0"
Insulation,"Cellulose Fiber (heat cond.: 0,04 W/mK)",0.04,0.9,WUFI-Passive Database,,"255,255,255,0"
Insulation,CompaCFoam 100,0.038,0.9,,,
Insulation,CompaCFoam 200,0.047,0.9,,,
Insulation,"Cork (heat cond.: 0,04 W/mK)",0.04,0.9,WUFI-Passive Database,,"255,255,255,0"
Insulation,DOW Thermax,0.022,0.9,,,"255,255,153,255"
Insulation,DOW Thermax (Derated to R-5.5/in),0.026,0.9,,,"255,255,153,255"
Insulation,DOW Thermax XARMOR,0.021,0.9,Manufacturer,Polyisocyanurate Board Foam,"255,255,153,255"
Insulation,EPS (heat cond.: 0.04 W/mK - density: 15 kg/m3),0.04,0.9,WUFI-Passive Database,,"255,255,255,0"
